Col,Row,Pick,Place
a,8,"[0.271875; -0.13125; 0.45]","[0.271875; -0.13125; 0.45]"
b,8,"[0.271875; -0.0875; 0.45]","[0.271875; -0.0875; 0.45]"
c,8,"[0.271875; -0.04375; 0.45]","[0.271875; -0.04375; 0.45]"
d,8,"[0.271875; 0; 0.45]","[0.271875; 0; 0.45]"
e,8,"[0.271875; 0.04375; 0.45]","[0.271875; 0.04375; 0.45]"
f,8,"[0.271875; 0.0875; 0.45]","[0.271875; 0.0875; 0.45]"
g,8,"[0.271875; 0.13125; 0.45]","[0.271875; 0.13125; 0.45]"
h,8,"[0.271875; 0.175; 0.45]","[0.271875; 0.175; 0.45]"
a,7,"[0.315625; -0.13125; 0.45]","[0.315625; -0.13125; 0.45]"
b,7,"[0.315625; -0.0875; 0.45]","[0.315625; -0.0875; 0.45]"
c,7,"[0.315625; -0.04375; 0.45]","[0.315625; -0.04375; 0.45]"
d,7,"[0.315625; 0; 0.45]","[0.315625; 0; 0.45]"
e,7,"[0.315625; 0.04375; 0.45]","[0.315625; 0.04375; 0.45]"
f,7,"[0.315625; 0.0875; 0.45]","[0.315625; 0.0875; 0.45]"
g,7,"[0.315625; 0.13125; 0.45]","[0.315625; 0.13125; 0.45]"
h,7,"[0.315625; 0.175; 0.45]","[0.315625; 0.175; 0.45]"
a,6,"[0.359375; -0.13125; 0.45]","[0.359375; -0.13125; 0.45]"
b,6,"[0.359375; -0.0875; 0.45]","[0.359375; -0.0875; 0.45]"
c,6,"[0.359375; -0.04375; 0.45]","[0.359375; -0.04375; 0.45]"
d,6,"[0.359375; 0; 0.45]","[0.359375; 0; 0.45]"
e,6,"[0.359375; 0.04375; 0.45]","[0.359375; 0.04375; 0.45]"
f,6,"[0.359375; 0.0875; 0.45]","[0.359375; 0.0875; 0.45]"
g,6,"[0.359375; 0.13125; 0.45]","[0.359375; 0.13125; 0.45]"
h,6,"[0.359375; 0.175; 0.45]","[0.359375; 0.175; 0.45]"
a,5,"[0.403125; -0.13125; 0.45]","[0.403125; -0.13125; 0.45]"
b,5,"[0.403125; -0.0875; 0.45]","[0.403125; -0.0875; 0.45]"
c,5,"[0.403125; -0.04375; 0.45]","[0.403125; -0.04375; 0.45]"
d,5,"[0.403125; 0; 0.45]","[0.403125; 0; 0.45]"
e,5,"[0.403125; 0.04375; 0.45]","[0.403125; 0.04375; 0.45]"
f,5,"[0.403125; 0.0875; 0.45]","[0.403125; 0.0875; 0.45]"
g,5,"[0.403125; 0.13125; 0.45]","[0.403125; 0.13125; 0.45]"
h,5,"[0.403125; 0.175; 0.45]","[0.403125; 0.175; 0.45]"
a,4,"[0.446875; -0.13125; 0.45]","[0.446875; -0.13125; 0.45]"
b,4,"[0.446875; -0.0875; 0.45]","[0.446875; -0.0875; 0.45]"
c,4,"[0.446875; -0.04375; 0.45]","[0.446875; -0.04375; 0.45]"
d,4,"[0.446875; 0; 0.45]","[0.446875; 0; 0.45]"
e,4,"[0.446875; 0.04375; 0.45]","[0.446875; 0.04375; 0.45]"
f,4,"[0.446875; 0.0875; 0.45]","[0.446875; 0.0875; 0.45]"
g,4,"[0.446875; 0.13125; 0.45]","[0.446875; 0.13125; 0.45]"
h,4,"[0.446875; 0.175; 0.45]","[0.446875; 0.175; 0.45]"
a,3,"[0.490625; -0.13125; 0.45]","[0.490625; -0.13125; 0.45]"
b,3,"[0.490625; -0.0875; 0.45]","[0.490625; -0.0875; 0.45]"
c,3,"[0.490625; -0.04375; 0.45]","[0.490625; -0.04375; 0.45]"
d,3,"[0.490625; 0; 0.45]","[0.490625; 0; 0.45]"
e,3,"[0.490625; 0.04375; 0.45]","[0.490625; 0.04375; 0.45]"
f,3,"[0.490625; 0.0875; 0.45]","[0.490625; 0.0875; 0.45]"
g,3,"[0.490625; 0.13125; 0.45]","[0.490625; 0.13125; 0.45]"
h,3,"[0.490625; 0.175; 0.45]","[0.490625; 0.175; 0.45]"
a,2,"[0.534375; -0.13125; 0.45]","[0.534375; -0.13125; 0.45]"
b,2,"[0.534375; -0.0875; 0.45]","[0.534375; -0.0875; 0.45]"
c,2,"[0.534375; -0.04375; 0.45]","[0.534375; -0.04375; 0.45]"
d,2,"[0.534375; 0; 0.45]","[0.534375; 0; 0.45]"
e,2,"[0.534375; 0.04375; 0.45]","[0.534375; 0.04375; 0.45]"
f,2,"[0.534375; 0.0875; 0.45]","[0.534375; 0.0875; 0.45]"
g,2,"[0.534375; 0.13125; 0.45]","[0.534375; 0.13125; 0.45]"
h,2,"[0.534375; 0.175; 0.45]","[0.534375; 0.175; 0.45]"
a,1,"[0.578125; -0.13125; 0.45]","[0.578125; -0.13125; 0.45]"
b,1,"[0.578125; -0.0875; 0.45]","[0.578125; -0.0875; 0.45]"
c,1,"[0.578125; -0.04375; 0.45]","[0.578125; -0.04375; 0.45]"
d,1,"[0.578125; 0; 0.45]","[0.578125; 0; 0.45]"
e,1,"[0.578125; 0.04375; 0.45]","[0.578125; 0.04375; 0.45]"
f,1,"[0.578125; 0.0875; 0.45]","[0.578125; 0.0875; 0.45]"
g,1,"[0.578125; 0.13125; 0.45]","[0.578125; 0.13125; 0.45]"
h,1,"[0.578125; 0.175; 0.45]","[0.578125; 0.175; 0.45]"